goodreads_book_id,best_book_id,work_id,books_count,isbn,original_publication_year,original_title,language_code,average_rating,work_ratings_count,work_text_reviews_count,image_url
2767052,2767052,2792775,272,439023483,2008.0,The Hunger Games,eng,4.34,4942365,155254,https://images.gr-assets.com/books/1447303603m/2767052.jpg
3,3,4640799,491,439554934,1997.0,Harry Potter and the Philosopher's Stone,eng,4.44,4800065,75867,https://images.gr-assets.com/books/1474154022m/3.jpg
41865,41865,3212258,226,316015849,2005.0,Twilight,en-US,3.57,3916824,95009,https://images.gr-assets.com/books/1361039443m/41865.jpg
11870085,11870085,16827462,226,525478817,2012.0,The Fault in Our Stars,eng,4.26,2478609,140739,https://images.gr-assets.com/books/1360206420m/11870085.jpg
13335037,13335037,13155899,210,62024035,2011.0,Divergent,eng,4.24,2216814,101023,https://images.gr-assets.com/books/1328559506m/13335037.jpg
6148028,6148028,6171458,201,439023491,2009.0,Catching Fire,eng,4.3,1988079,88538,https://images.gr-assets.com/books/1358273780m/6148028.jpg
5,5,2402163,376,043965548X,1999.0,Harry Potter and the Prisoner of Azkaban,eng,4.53,1969375,36099,https://images.gr-assets.com/books/1499277281m/5.jpg
7260188,7260188,8812783,239,439023513,2010.0,Mockingjay,eng,4.03,1870748,96274,https://images.gr-assets.com/books/1358275419m/7260188.jpg
2,2,2809203,307,439358078,2003.0,Harry Potter and the Order of the Phoenix,eng,4.46,1840548,28685,https://images.gr-assets.com/books/1387141547m/2.jpg
15881,15881,6231171,398,439064864,1998.0,Harry Potter and the Chamber of Secrets,eng,4.37,1906199,34172,https://images.gr-assets.com/books/1474169725m/15881.jpg
6,6,3046572,332,439139600,2000.0,Harry Potter and the Goblet of Fire,eng,4.53,1868642,31084,https://images.gr-assets.com/books/1361482611m/6.jpg
136251,136251,2963218,263,545010225,2007.0,Harry Potter and the Deathly Hallows,eng,4.61,1847395,51942,https://images.gr-assets.com/books/1474171184m/136251.jpg
1,1,41335427,275,439785960,2005.0,Harry Potter and the Half-Blood Prince,eng,4.54,1785676,27520,https://images.gr-assets.com/books/1361039191m/1.jpg
100915,100915,4790821,474,60764899,1950.0,"The Lion, the Witch and the Wardrobe",eng,4.19,1584884,15186,https://images.gr-assets.com/books/1353029077m/100915.jpg
28187,28187,3346751,159,786838655,2005.0,The Lightning Thief,eng,4.23,1411114,46006,https://images.gr-assets.com/books/1400602609m/28187.jpg
19063,19063,878368,251,375831002,2005.0,The Book Thief,eng,4.36,1287798,93611,https://images.gr-assets.com/books/1390053681m/19063.jpg
49041,49041,3203964,194,316160199,2006.0,"New Moon (Twilight, #2)",eng,3.52,1199000,44020,https://images.gr-assets.com/books/1361039440m/49041.jpg
256683,256683,2267189,178,1416914285,2007.0,City of Bones,eng,4.12,1241799,51589,https://images.gr-assets.com/books/1432730315m/256683.jpg
428263,428263,2675454,185,316160202,2007.0,Eclipse,en-US,3.69,1176642,35216,https://images.gr-assets.com/books/1361038355m/428263.jpg
113436,113436,3178011,217,375826696,2002.0,Eragon,en-US,3.86,1125231,18280,https://images.gr-assets.com/books/1366212852m/113436.jpg
119322,119322,1536771,287,679879242,1995.0,Northern Lights,eng,3.94,994914,14915,https://images.gr-assets.com/books/1451271747m/119322.jpg
22628,22628,2236198,128,671027344,1999.0,The Perks of Being a Wallflower,eng,4.21,954905,47116,https://images.gr-assets.com/books/1167352178m/22628.jpg
11735983,11735983,15524542,164,7442912,2012.0,Insurgent,eng,4.07,947338,55873,https://images.gr-assets.com/books/1325667729m/11735983.jpg
375802,375802,2422333,224,812550706,1985.0,Ender's Game,eng,4.3,873417,38054,https://images.gr-assets.com/books/1408303130m/375802.jpg
1656001,1656001,3328799,161,316068047,2008.0,The Host,en-US,3.84,777560,39778,https://images.gr-assets.com/books/1318009171m/1656001.jpg
99561,99561,919292,187,142402516,2005.0,Looking for Alaska,eng,4.09,831285,47128,https://images.gr-assets.com/books/1394798630m/99561.jpg
38709,38709,1679789,138,439244196,1998.0,Holes,eng,3.93,764637,15832,https://images.gr-assets.com/books/1327781893m/38709.jpg
6442769,6442769,3364505,178,014241493X,2008.0,Paper Towns,en-US,3.88,655271,42717,https://images.gr-assets.com/books/1349013610m/6442769.jpg
231804,231804,1426690,156,014038572X,1967.0,The Outsiders,en-US,4.06,680437,22662,https://images.gr-assets.com/books/1442129426m/231804.jpg
6186357,6186357,6366642,147,385737947,2009.0,The Maze Runner,eng,4.02,777956,48942,https://images.gr-assets.com/books/1375596592m/6186357.jpg
18710190,18710190,15524549,153,7524277,2013.0,Allegiant,eng,3.63,663226,62536,https://images.gr-assets.com/books/1395582745m/18710190.jpg
18131,18131,948387,165,440498058,1962.0,A Wrinkle in Time,en-US,4.04,650094,19413,https://images.gr-assets.com/books/1329061522m/18131.jpg
452306,452306,1058370,93,385729332,2001.0,The Sisterhood of the Traveling Pants,eng,3.75,536604,6477,https://images.gr-assets.com/books/1461611233m/452306.jpg
8127,8127,3464264,1314,451528824,1908.0,Anne of Green Gables,eng,4.23,533352,14041,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
3777732,3777732,3443248,122,1416914307,2009.0,City of Glass,en-US,4.34,630560,22736,https://images.gr-assets.com/books/1369452339m/3777732.jpg
9460487,9460487,14345371,155,1594744769,2011.0,Miss Peregrine’s Home for Peculiar Children,en-US,3.89,672222,53569,https://images.gr-assets.com/books/1472782916m/9460487.jpg
1217100,29844228,2588213,150,1595141715,2007.0,Thirteen Reasons Why,eng,4.02,571281,43467,https://images.gr-assets.com/books/1333822506m/1217100.jpg
4374400,4374400,4422413,130,525421033,2009.0,If I Stay,en-US,3.96,567087,34959,https://images.gr-assets.com/books/1347462970m/4374400.jpg
28186,28186,43554,121,786856866,2006.0,The Sea of Monsters,eng,4.23,550512,20097,https://images.gr-assets.com/books/1400602661m/28186.jpg
1582996,1582996,1575860,125,1416914293,2008.0,City of Ashes,eng,4.21,586008,23643,https://images.gr-assets.com/books/1432730356m/1582996.jpg
2120932,2120932,2377629,92,1423101464,2008.0,The Battle of the Labyrinth,eng,4.39,537708,14098,https://images.gr-assets.com/books/1443142158m/2120932.jpg
